Operational Hours,Task Complexity,Error Rate,Temperature Readings,Vibration Intensity,Power Consumption,Software Version,Maintenance Requirement
570.9232,2,0.0459,85.3137,2.2811,7.7631,1,1
184.5465,3,0.0445,84.6051,2.9809,8.5578,2,1
618.3518,4,0.0336,24.0806,2.144,7.7526,2,1
936.3666,2,0.0881,70.1729,2.776,16.3218,8,1
386.7121,3,0.0945,60.1962,2.0847,13.0382,3,1
700.6693,1,0.0992,33.5856,2.0023,15.0145,8,1
218.6181,3,0.0377,31.8703,3.4767,17.3069,1,1
744.6945,1,0.0966,81.8607,0.4643,8.4616,2,1
360.4655,3,0.0792,65.4154,0.8327,9.8889,9,1
264.8722,1,0.0676,98.6399,4.256,15.6254,1,1
627.8616,1,0.0245,98.5798,3.8554,10.8914,4,1
118.0968,3,0.0216,99.4134,1.4073,5.4391,6,1
846.046,2,0.0166,29.4892,1.8863,11.5243,2,1
104.2259,1,0.0923,95.0605,4.6301,18.6241,3,1
710.0349,4,0.0294,39.5656,4.0904,11.1353,2,1
343.0072,3,0.0453,56.657,3.0717,9.9837,5,0
761.6746,4,0.0494,80.5925,1.1075,19.8429,8,1
965.9697,1,0.0778,36.2897,0.2213,14.6662,9,1
323.8778,1,0.0844,65.3049,2.1563,10.49,5,1
618.5416,3,0.0139,34.8653,3.3631,6.5303,5,0
632.8377,4,0.0427,28.3789,4.1424,16.8177,7,1
615.0267,1,0.0843,29.3247,4.2634,15.6211,6,1
300.7735,4,0.0818,48.6111,0.1639,18.8287,2,1
957.4741,2,0.0102,20.3724,1.2208,8.2591,1,1
502.4128,3,0.0156,53.9883,1.6955,6.7239,2,1
861.7678,1,0.0304,73.1358,0.9437,15.8611,1,1
729.5313,3,0.0075,52.1351,4.0149,8.0509,4,1
367.6933,4,0.0425,26.8636,3.8373,7.6416,6,1
832.418,3,0.0108,25.0151,2.5842,9.7971,6,1
456.8552,4,0.0568,42.2493,4.9146,17.2524,7,1
892.9929,4,0.0247,33.545,0.7203,13.093,3,1
623.1456,2,0.0596,97.2076,4.4983,5.6878,6,1
893.5618,3,0.0118,32.0984,0.5823,11.9584,8,1
723.2784,4,0.0976,84.437,0.8159,15.2597,6,1
752.7289,3,0.0933,66.8886,3.4811,13.0755,9,1
551.1919,3,0.0392,65.543,0.5478,13.5868,2,1
960.4753,3,0.0242,60.9665,2.8292,8.3717,6,1
679.5912,3,0.025,97.741,2.1012,17.7161,9,1
481.4695,1,0.0483,49.1076,3.6424,13.421,2,1
645.7539,4,0.004,83.0333,4.5034,15.6987,5,1
117.2739,3,0.064,64.4235,3.8494,19.728,1,1
371.4173,1,0.0408,51.6507,4.2484,11.423,3,1
694.1562,1,0.0377,96.4373,0.1647,18.216,1,1
361.0698,2,0.0809,67.8653,1.551,5.1092,8,1
656.2139,2,0.0709,29.5134,2.5772,5.5011,4,1
485.8918,3,0.0954,53.4031,2.0798,13.8542,9,1
221.9267,2,0.0352,82.5265,1.1563,9.6717,8,0
368.4541,1,0.0898,75.4998,1.5394,8.7241,8,1
612.9684,4,0.077,93.3072,4.7272,9.169,9,1
631.7855,3,0.0357,40.7502,1.4709,9.776,2,1
616.8927,2,0.0622,80.6555,1.7695,15.9342,9,0
687.8807,4,0.0289,56.79,0.0185,13.5379,1,1
686.8929,1,0.0874,65.8888,4.2254,16.8355,8,1
488.2766,2,0.0112,96.4037,0.7742,17.4529,8,1
906.8919,3,0.0212,98.3429,1.0207,17.644,7,1
430.8057,2,0.0183,88.9273,1.2763,11.2197,6,1
492.2784,3,0.0403,48.7278,4.4231,11.3191,9,1
902.731,3,0.0745,91.0161,1.0323,18.894,6,1
825.5746,2,0.0527,71.0887,3.9876,14.9265,5,1
733.4997,3,0.0488,54.3997,4.0402,6.207,1,1
190.2042,3,0.0001,22.8594,4.6351,13.1328,2,1
927.5344,3,0.0425,81.6102,0.5778,10.3401,9,1
742.8172,4,0.0064,60.1684,1.0864,19.8115,1,1
998.9623,3,0.0208,82.8951,3.7145,5.2048,4,1
234.5035,2,0.0932,79.8418,0.98,14.1827,8,1
881.3135,3,0.0215,83.4854,1.4316,15.8543,4,1
246.2436,3,0.0858,44.0521,0.8337,9.3336,8,1
654.0036,3,0.0803,84.0639,0.8635,19.6046,6,1
211.438,4,0.0159,63.9077,2.4078,17.893,4,1
863.2074,3,0.0606,57.8661,0.5484,18.7348,9,1
826.5871,1,0.0116,74.0101,1.6085,5.2885,4,1
612.1907,2,0.0728,21.7087,2.133,13.5481,2,1
466.465,2,0.0637,28.1853,0.1227,9.4198,4,0
162.2503,4,0.0812,43.3742,1.9417,17.7354,4,1
727.6859,1,0.0479,98.6392,0.4706,14.4927,1,1
508.1884,2,0.0915,31.1797,2.4679,13.0832,8,1
749.85,1,0.0049,46.4477,4.1287,6.7188,3,1
879.7441,2,0.0293,24.0842,4.0921,13.1033,1,1
977.9694,4,0.0715,46.5015,0.4022,14.4786,7,1
870.223,2,0.0418,45.6261,3.0061,19.3387,7,1
110.5427,4,0.0173,95.7446,4.1729,13.7758,8,1
423.9803,4,0.0107,87.6123,1.1899,19.511,8,1
756.9915,3,0.0817,50.6211,3.8096,19.4241,2,1
254.4667,1,0.0473,21.9815,4.4538,14.753,3,1
568.9329,4,0.0882,86.4825,4.0306,12.5886,9,1
148.9042,1,0.0733,72.8429,0.5365,11.9903,6,1
279.9969,2,0.041,32.1892,0.0453,18.3557,2,1
116.6696,1,0.0374,99.6857,0.9586,5.4239,8,1
814.3279,3,0.0516,28.0187,1.3524,6.7071,4,1
301.5322,2,0.0889,89.3692,3.0809,6.5311,2,1
410.8165,2,0.0737,43.5413,1.9214,16.354,7,1
935.2732,3,0.0005,54.8283,3.517,10.0948,9,1
733.973,1,0.0694,83.6365,1.7654,14.5695,3,0
128.655,1,0.092,74.2007,0.7721,14.0567,8,1
248.2247,2,0.071,95.0291,1.5634,10.7874,9,1
659.3306,2,0.0177,69.6912,4.4216,12.9735,7,1
619.5057,3,0.0484,27.8248,4.7927,14.6771,9,1
314.1035,1,0.014,90.7488,1.0376,19.1143,6,1
940.7926,1,0.0359,81.5324,3.9423,13.6345,1,1
652.5694,1,0.0937,76.9496,1.3667,14.2155,1,1
582.0695,3,0.0923,24.2987,4.4357,6.0178,5,1
630.919,3,0.0283,51.6978,0.8277,19.2832,7,0
757.1098,2,0.034,33.3949,3.3298,12.9212,1,1
380.7505,4,0.06,85.7523,0.4211,17.0191,5,1
458.399,4,0.0963,76.0423,4.8695,5.7544,3,1
288.8594,2,0.0148,90.6462,3.5032,11.3137,3,1
267.5737,2,0.0257,97.326,4.2091,8.8546,5,1
949.9352,4,0.0874,81.9798,2.8333,9.0046,8,1
765.5957,2,0.0492,99.5386,2.384,16.8718,2,1
541.4129,4,0.0899,69.1816,3.1094,14.358,7,1
304.6732,1,0.0186,22.9704,2.6437,11.5962,5,0
328.9208,1,0.0533,21.1401,2.3469,5.1588,7,0
152.2262,1,0.0326,47.3683,3.7973,19.4739,9,0
490.975,1,0.0317,85.8777,0.891,19.4303,7,1
380.6163,3,0.0447,89.2908,0.8559,8.2633,3,1
726.7091,3,0.0433,96.865,2.1592,5.6202,8,1
439.9767,1,0.0357,25.2097,1.6037,12.953,5,0
261.6433,2,0.0915,23.5657,0.3706,19.2712,1,1
122.2109,1,0.0732,93.0627,4.2224,18.6559,2,1
160.5247,2,0.0728,44.4037,3.858,13.7699,7,1
711.4535,3,0.029,64.639,2.7196,9.5532,5,0
508.3272,4,0.0578,98.5956,4.8966,9.9494,1,1
582.9213,3,0.0779,52.0359,0.363,18.4687,1,1
907.0042,4,0.0796,73.2697,3.8333,12.3768,3,1
991.3051,2,0.0345,52.0704,1.3319,6.9667,8,1
295.2073,1,0.0771,81.4556,1.843,8.7264,7,1
696.7704,4,0.0736,62.2172,1.0964,9.1519,7,1
336.9901,4,0.0142,39.0019,3.9452,6.8532,8,1
118.5859,1,0.0866,41.7045,0.7212,11.9457,8,1
782.5408,2,0.0441,40.6447,4.2001,18.7408,1,1
388.0154,1,0.0486,62.5856,3.3079,15.0317,5,0
445.1175,1,0.0448,76.2551,0.2951,6.0871,2,1
629.4854,3,0.0568,95.9424,4.0549,5.0824,5,1
847.9436,2,0.0621,75.527,3.1388,9.1437,6,1
666.0837,4,0.0498,82.4954,4.5249,10.4404,1,1
885.3856,1,0.0867,33.5141,3.7436,16.6512,7,1
346.1878,3,0.0628,49.925,2.8056,19.5051,5,0
818.2422,4,0.0401,53.1024,4.1827,10.8135,5,1
267.0723,1,0.0417,74.9104,1.3903,15.3004,2,1
957.5125,1,0.0811,43.6714,2.7348,19.9235,8,1
718.7394,2,0.0348,44.2634,1.4681,16.185,1,1
293.9569,1,0.0211,48.4711,4.841,14.5428,2,1
210.2145,4,0.0059,84.8242,1.131,6.1711,3,1
757.7702,4,0.0876,66.2072,0.0787,9.8482,9,1
328.5475,3,0.0919,26.0222,1.6293,18.7009,8,1
291.9808,1,0.012,26.2597,2.5125,8.0151,9,0
566.3806,4,0.0334,49.703,0.1418,17.6539,1,1
123.0964,2,0.0175,81.3273,2.7962,15.4449,1,1
286.7231,4,0.0116,75.0947,4.3714,10.4949,1,1
482.2169,1,0.09,76.6386,3.5237,12.9376,3,1
436.753,1,0.0057,81.3768,3.1148,13.1421,7,0
517.2179,2,0.098,42.9722,4.7798,15.7108,9,1
349.8658,1,0.0096,63.8605,4.7914,12.7483,4,1
628.1059,1,0.0863,63.4682,4.1213,6.9961,8,1
877.47,2,0.0567,79.1706,3.0387,16.6018,4,1
205.7787,4,0.0368,96.5496,2.4388,11.0941,4,1
565.6412,1,0.0342,42.2392,0.0666,19.4464,6,0
218.8613,3,0.0757,83.4625,3.0313,9.2527,6,1
745.1737,1,0.0315,72.7976,4.9454,8.9462,5,1
456.4537,1,0.0657,66.419,4.0905,10.0026,9,1
608.8792,2,0.0517,81.9904,1.703,13.5848,3,0
264.9519,2,0.0485,95.5226,0.7602,18.423,9,1
230.363,2,0.0901,22.9353,3.9203,7.6442,6,1
539.2507,2,0.0555,31.792,3.7197,9.1952,8,0
420.0515,1,0.0827,80.503,4.8352,13.7252,6,1
946.3888,3,0.0726,26.7033,4.3742,11.815,5,1
788.7927,4,0.0039,61.2899,2.7783,11.7098,5,1
773.7973,3,0.0773,37.5889,0.5064,17.311,8,1
913.3478,3,0.0217,41.9437,2.4175,18.8582,9,1
175.0802,2,0.0903,76.1472,1.5685,12.2196,9,1
596.9732,1,0.0043,22.4154,2.562,15.3103,6,0
626.0285,1,0.0333,89.8656,1.5085,17.0159,7,1
965.7427,1,0.01,55.5583,4.3091,12.7755,7,1
362.9328,4,0.0476,60.1915,4.2216,9.4147,4,1
316.7459,3,0.082,63.2038,1.5773,14.5713,7,1
190.2645,4,0.0298,71.6435,2.9979,13.7766,1,1
114.7867,4,0.0151,47.5885,2.1509,18.5234,6,1
936.5764,3,0.033,28.0886,4.5455,5.7861,7,1
702.9249,4,0.0814,45.4703,0.9368,18.652,6,1
806.6376,2,0.014,33.4514,3.4886,13.0165,5,1
353.5571,3,0.0227,64.4907,4.8519,5.2351,4,1
627.7691,3,0.0069,45.4423,0.8764,10.1705,1,1
157.5597,3,0.0706,96.6454,1.0098,15.865,6,1
537.0648,3,0.0395,97.2587,3.4686,12.3265,2,1
979.7456,1,0.0311,69.6101,3.8958,19.7024,6,1
888.8547,4,0.0719,69.3998,2.4527,11.3392,2,1
404.3431,4,0.0336,98.8303,3.0484,9.8995,2,1
965.4131,4,0.0728,90.9827,1.0634,17.3251,9,1
308.5315,3,0.0815,81.2056,2.3831,13.2186,8,1
954.3869,4,0.0218,45.0872,0.5604,15.2349,4,1
947.2399,4,0.0974,49.2431,1.6071,17.0855,6,1
819.2823,3,0.0162,36.1013,1.4239,15.0714,3,1
667.4031,4,0.0291,58.9719,2.2231,11.3361,7,1
886.8592,3,0.018,99.2295,4.6506,6.8719,4,1
363.7183,3,0.0346,92.9721,0.9063,13.7037,9,1
864.0492,3,0.048,29.468,2.0069,18.4615,5,1
656.089,3,0.0522,22.0152,3.078,11.2834,9,0
111.9132,2,0.0854,91.891,4.7328,18.6609,1,1
412.5102,4,0.0889,62.9736,0.6657,12.5529,9,1
233.3268,4,0.022,36.0152,4.5894,14.3126,5,1
983.6465,2,0.0623,73.8923,0.4053,17.4948,1,1
530.5333,4,0.0111,71.5379,2.4037,13.469,6,1
547.6522,1,0.0459,29.7668,2.2729,6.3645,6,0
675.5253,2,0.0322,40.768,1.048,19.7147,3,0
431.7261,1,0.0317,24.8062,1.7373,8.6877,5,0
223.2102,2,0.0483,36.7888,2.2708,15.6576,9,0
839.906,2,0.073,30.5845,4.3261,12.5767,9,1
270.8631,2,0.0069,35.4589,4.7753,12.1816,5,1
560.1871,4,0.0879,74.8374,2.5946,8.6591,2,1
301.8853,4,0.0735,23.96,4.3505,15.8323,9,1
188.06,1,0.0176,28.1484,3.0409,6.6918,9,0
875.9724,1,0.0939,30.7339,1.7454,19.8568,9,1
975.6275,2,0.0506,45.3233,0.971,17.6806,4,1
964.7512,2,0.1,43.9,2.0657,13.0176,4,1
915.8999,1,0.0197,40.4051,2.6141,11.3683,3,1
796.6426,1,0.0535,80.0429,0.2222,9.297,6,1
399.8306,2,0.029,99.8418,0.7292,12.5239,8,1
172.9913,2,0.0304,62.7182,3.0009,18.1913,6,0
466.5171,2,0.0591,95.5362,1.125,9.1251,9,1
309.0107,2,0.0922,51.7288,4.1866,12.5081,8,1
219.2389,1,0.0805,28.5346,1.6347,8.5182,1,1
148.0845,3,0.0724,52.7019,0.5242,10.0572,3,1
753.0349,1,0.0559,43.6902,0.4177,7.8539,8,1
110.2847,1,0.0922,59.4726,0.4111,19.8581,4,1
793.5227,3,0.0492,72.5635,0.5901,13.5725,6,1
232.252,3,0.0874,56.884,0.7045,15.9922,2,1
171.5699,4,0.0834,94.8128,4.3133,6.4737,6,1
180.6427,4,0.0214,90.7812,1.2714,10.4918,2,1
704.843,1,0.0771,76.1582,3.3298,18.3896,2,1
320.8305,1,0.0012,59.1748,4.0836,6.2666,3,1
478.4855,3,0.0323,30.535,3.0359,7.4822,5,0
601.6319,3,0.023,51.7611,4.7874,14.3813,4,1
874.4961,4,0.0507,76.3521,3.5444,14.3418,2,1
754.3398,4,0.0737,42.7908,0.5638,17.5734,2,1
343.2951,3,0.0098,28.319,2.7921,19.0324,3,0
218.3345,1,0.0515,92.6319,3.5909,7.1298,9,1
149.8369,2,0.0938,76.7241,4.0098,8.8906,2,1
371.4388,3,0.0229,69.2221,0.1316,11.4119,8,0
335.9063,2,0.0677,83.3999,3.5944,5.0135,9,0
510.5265,2,0.0593,86.8517,4.1284,6.0472,3,1
714.9532,1,0.001,58.6767,3.7342,8.3974,7,0
726.0629,1,0.0476,90.4951,2.5617,12.2165,6,1
355.167,2,0.0709,93.3135,2.2901,8.7728,2,1
441.9343,4,0.0044,41.7241,2.7471,18.1502,7,1
263.0359,1,0.088,68.6036,3.5232,9.8641,3,1
809.691,4,0.052,62.1267,4.6146,18.8693,6,1
151.1633,3,0.0031,63.0357,3.0852,19.6218,7,0
727.2975,3,0.0224,95.013,4.4392,11.7479,2,1
800.8259,2,0.0954,44.4151,3.5063,8.4069,6,1
799.6668,2,0.0582,98.6747,0.3417,9.375,9,1
333.4803,3,0.0107,92.1705,2.5041,16.645,5,1
436.4318,3,0.0288,56.6978,1.4324,9.1002,7,0
628.8397,2,0.0457,85.3963,1.4259,10.7087,6,1
345.5397,3,0.0021,81.5238,1.7796,12.1786,7,0
433.7675,1,0.0412,74.2316,1.5737,13.6267,1,1
277.3489,1,0.0489,45.5867,2.893,19.9415,3,0
513.8703,4,0.0244,35.7161,3.418,8.4831,6,1
140.1511,4,0.0589,73.7222,1.3437,10.3014,7,1
819.8163,2,0.0753,87.4379,0.6488,8.9434,3,1
169.2608,1,0.0236,21.3002,0.294,10.4167,2,1
566.9516,2,0.062,71.4243,2.8788,6.5121,5,0
376.1291,4,0.064,55.4298,0.9307,10.3971,9,1
619.7887,1,0.0949,91.847,0.0462,18.318,9,1
963.49,1,0.0778,45.7178,4.6388,9.4788,4,1
681.0132,4,0.0848,57.9348,2.6857,10.579,8,1
131.8262,2,0.049,61.1814,0.4622,19.1671,3,0
487.3622,4,0.0185,31.2352,4.2146,15.9257,2,1
559.0152,4,0.0996,77.0314,4.916,12.7511,2,1
582.5597,3,0.0129,86.4381,2.243,16.6579,2,1
713.2533,2,0.0471,24.6327,0.2124,6.8477,7,0
349.8365,2,0.0068,43.3111,0.5877,11.9674,4,0
215.9745,3,0.0944,23.0436,1.9083,6.7735,7,1
453.4081,1,0.0965,96.5235,4.4276,8.5043,6,1
960.7652,4,0.0719,73.3735,0.7402,7.128,5,1
268.4178,4,0.035,97.136,4.12,10.427,3,1
913.5856,2,0.0254,62.5195,0.0749,10.7246,8,1
589.4254,2,0.0265,84.1655,2.2869,19.2096,9,0
511.2203,2,0.0127,49.9531,3.222,8.9619,9,0
893.8373,1,0.0526,48.3055,0.3019,12.0864,1,1
512.7436,1,0.0142,50.2614,3.0738,17.1707,8,0
751.7509,4,0.0317,72.629,4.722,17.2343,9,1
459.1228,3,0.0627,48.7563,0.8013,16.2551,9,0
913.64,2,0.0728,92.0294,3.6481,9.3175,8,1
721.0225,3,0.0024,98.662,3.0455,12.4246,5,1
729.6598,4,0.043,22.4341,0.9256,7.7932,7,1
394.9484,4,0.0652,35.4899,0.031,7.826,7,1
781.1008,3,0.0853,28.98,0.0464,11.5376,9,1
672.4549,2,0.0475,23.3891,2.6605,16.0789,4,0
316.0182,4,0.0969,38.2193,4.7139,12.8988,8,1
244.4849,4,0,55.7435,3.2215,18.3002,9,1
816.7523,2,0.0014,86.9592,3.5715,17.4636,5,1
963.2499,4,0.0484,37.7459,2.4693,5.4741,3,1
512.3249,4,0.0256,59.5156,2.9094,13.5263,4,1
631.8857,3,0.0824,94.3695,0.6318,14.1374,1,1
871.9504,1,0.0233,73.3772,4.3841,19.4236,5,1
511.5011,4,0.0311,83.8463,3.804,5.3485,9,1
956.687,4,0.0791,64.0795,4.991,12.9666,1,1
618.176,3,0.0715,98.4373,1.4886,8.0717,5,1
838.6904,1,0.0558,67.093,1.1351,5.8049,3,1
917.9593,1,0.0705,23.6409,0.6258,13.8123,7,1
833.9714,3,0.0419,35.8386,4.821,16.5891,3,1
243.473,4,0.0005,52.3819,3.9044,16.623,3,1
666.0086,2,0.0011,68.1022,0.8316,5.4543,3,0
458.5908,3,0.0511,81.7545,2.7634,11.1042,8,0
156.4417,3,0.0083,53.0469,2.0688,5.6676,7,0
481.629,1,0.0051,76.8047,0.7574,8.7176,7,0
332.8157,3,0.0966,83.1896,0.8104,7.8932,1,1
864.1345,2,0.0859,45.3808,4.8173,8.2277,3,1
129.9742,3,0.0152,98.3416,1.5248,10.0868,2,1
963.0844,3,0.0001,71.9725,4.7072,9.1613,5,1
419.832,1,0.0942,90.4798,0.3781,19.4342,7,1
421.0362,2,0.0278,64.475,2.304,10.2861,4,0
114.6957,2,0.0186,79.3282,0.6481,18.4126,9,0
266.7091,4,0.0692,81.6435,0.0239,7.7156,8,1
461.1336,1,0.0109,92.6599,2.7688,16.4562,6,1
936.3623,2,0.0265,32.028,0.5695,5.9202,1,1
189.6534,2,0.0975,64.6627,3.6101,11.9414,3,1
950.7714,3,0.0639,54.2703,3.4906,5.0827,2,1
882.5397,4,0.0521,93.8527,0.8817,17.1544,1,1
508.7462,1,0.0398,28.4076,4.7087,19.2573,6,1
394.0308,2,0.0775,98.6059,3.6052,5.5266,8,1
309.4697,4,0.0141,90.0361,1.4899,19.0077,4,1
653.0182,1,0.0967,25.9061,3.5462,16.6078,5,1
129.7671,3,0.0861,59.2773,3.6597,10.3829,5,1
114.0455,2,0.0618,77.4048,1.7111,18.6331,8,0
485.9162,4,0.0043,79.0521,1.8779,9.4439,2,1
161.2667,1,0.0701,92.5195,1.7955,11.1394,8,1
326.7469,2,0.0913,83.9892,3.0831,6.4507,8,1
299.0448,1,0.0525,44.8744,4.5021,14.8541,9,1
327.8721,3,0.0354,59.8748,0.866,5.444,6,0
217.9497,3,0.012,76.1429,4.376,12.2736,7,1
110.8326,4,0.0755,31.0749,0.1383,15.2479,2,1
203.9359,4,0.0885,35.5193,3.3017,17.3186,1,1
656.6322,2,0.01,58.4834,2.0722,7.2491,1,1
976.8306,4,0.0759,43.8597,3.9564,16.3114,1,1
991.3105,2,0.0017,89.0047,3.606,15.7862,3,1
468.1487,1,0.0967,66.9022,2.4005,13.3936,4,1
246.659,2,0.0615,47.8932,3.2193,13.7697,2,1
674.8856,3,0.0552,87.9066,2.5089,6.3691,7,1
541.2748,3,0.0296,84.3903,4.0576,14.0071,5,1
990.4688,4,0.0929,99.8684,2.3804,10.7228,1,1
158.7738,3,0.0266,87.7846,2.6158,18.0137,9,1
804.911,2,0.0828,53.1565,1.2526,9.6965,9,1
359.5586,1,0.0985,30.1999,3.0252,13.6489,7,1
317.2768,3,0.0783,87.2513,1.5145,11.3986,5,1
696.2541,3,0.0519,24.7806,2.8864,18.1439,6,0
321.4569,2,0.0066,48.0217,0.8484,8.8088,6,0
699.2732,2,0.0472,93.579,0.7973,6.182,8,1
565.5777,2,0.0438,96.8613,2.0851,16.2298,8,1
481.6801,2,0.0203,71.2452,2.1341,11.1934,4,0
599.219,1,0.0424,75.0919,1.3405,13.8365,6,0
358.3464,2,0.0358,23.3964,0.658,5.3958,6,0
735.9172,4,0.0164,61.1584,0.1961,19.2816,5,1
473.3712,1,0.0441,63.7495,0.1262,18.1643,1,1
424.491,1,0.0263,47.2081,1.3578,14.358,6,0
845.7912,4,0.0522,25.4877,2.3093,5.2554,7,1
932.4702,3,0.0035,38.3126,3.6312,10.6696,8,1
141.4066,4,0.0906,48.6387,2.3744,19.6819,1,1
309.3643,3,0.0816,54.8114,4.5203,15.22,9,1
413.6674,2,0.0553,67.2741,0.1761,7.4148,1,1
833.4698,3,0.0852,77.7913,0.9033,11.909,8,1
986.9423,4,0.0962,45.4105,1.6926,19.5011,9,1
972.0745,1,0.0111,46.3163,2.8875,13.0206,9,1
914.4535,4,0.0631,21.5753,4.2637,5.3692,5,1
