Rock_Type,Formation_Type,Mineral_Content,Hardness_Scale,Area_Sq_km,Density,Porosity_Percentage,Sample_Location,Depth_m,Erosion_Rate_mm_per_yr
Igneous,Sediment,5.674409403,20.23723049,334.5443787,22.91394468,9.615564247,Limestone,44.93292279,4.60531641
Metamorphic,Volcanic,1.640043891,37.92357545,747.3574587,41.56518295,32.5698092,Granite,225.5718108,3.969368061
Igneous,Volcanic,6.707099584,89.06873919,968.7912539,6.22303044,16.13477228,Basalt,239.9190387,3.786617162
Igneous,Plutonic,1.621708731,19.45745243,882.0359225,46.94824486,63.69424878,Granite,252.6504301,3.5315405
Igneous,Sediment,8.588569096,60.53904805,566.0884481,28.79192046,60.25783753,Granite,185.6601117,3.189452769
Sedimentary,Sediment,2.435802711,17.76322901,412.9504544,35.28902115,124.2855375,Basalt,289.4646238,2.336656961
Sedimentary,Volcanic,6.464559114,14.13140498,161.2182133,4.653357004,38.234753,Limestone,179.3852702,4.09399089
Metamorphic,Sediment,8.38286475,89.38676521,400.0438867,27.92915143,161.8399184,Limestone,93.62115636,0.869333979
Igneous,Volcanic,5.956690044,17.40825111,476.5403405,8.653613018,92.48527806,Limestone,119.0459075,2.976211928
Igneous,Volcanic,4.332648235,24.37122261,136.0433424,13.7832664,47.91600785,Granite,220.2888608,3.797967617
Sedimentary,Plutonic,7.16975073,58.44829938,91.33379817,28.31309271,15.84740519,Granite,5.451905783,4.098568902
Igneous,Volcanic,3.525961151,24.05449191,594.6476814,46.4321244,143.9704056,Limestone,230.2082586,1.88004697
Sedimentary,Sediment,9.508931104,63.40910809,577.7309414,30.0933988,173.1610513,Limestone,116.4297106,0.902687893
Metamorphic,Plutonic,7.953362254,65.2256935,304.5715508,0.684420549,41.98399802,Granite,209.9966294,3.508063105
Metamorphic,Volcanic,5.796903097,27.45946998,434.3024714,33.05743828,25.4172281,Limestone,129.6838743,4.217060738
Igneous,Plutonic,4.16624215,54.26010201,521.9136802,18.38633425,152.5467258,Limestone,20.168712,1.406464465
Sedimentary,Plutonic,0.355384725,42.02593396,896.6942502,13.87846753,34.46186494,Granite,278.4625183,3.890503362
Sedimentary,Volcanic,1.682232546,37.48405367,729.0155103,13.04620042,45.96990556,Basalt,119.3001702,3.705761352
Sedimentary,Sediment,7.873648146,91.09833532,31.29252791,8.255406369,191.7202578,Granite,177.8373875,0.25461149
Sedimentary,Volcanic,5.514102692,81.35436793,39.78329803,0.691812559,193.4988099,Limestone,248.5712057,0.316480122
Metamorphic,Volcanic,7.473817816,15.57007701,476.603923,46.86467693,186.7199191,Limestone,2.774132094,1.109900847
Metamorphic,Volcanic,7.52491409,0.623776645,984.3017277,20.8483601,194.7037516,Basalt,110.3240427,1.099687202
Metamorphic,Volcanic,2.931872906,31.62919638,730.6790666,9.983641697,172.8115384,Basalt,177.1718081,1.227477269
Igneous,Volcanic,9.699110259,98.70849035,185.1820013,47.78910268,9.307697276,Granite,8.359117237,3.826761151
Metamorphic,Sediment,9.438645773,96.23967374,147.2476727,22.12079077,98.8185056,Basalt,258.084371,2.061233151
Sedimentary,Plutonic,6.279172432,77.45664242,485.0968454,32.42068511,147.081872,Limestone,221.3643852,1.283796136
Igneous,Sediment,0.017378268,9.990807373,363.6604411,3.059872355,76.59794047,Limestone,116.8700545,3.368133117
Sedimentary,Volcanic,9.202335373,56.70718549,706.3512805,44.3599341,88.42586413,Limestone,0.588643379,2.664410863
Metamorphic,Plutonic,2.853360246,81.41587,901.8411698,17.57547906,58.7982506,Limestone,277.3515633,3.009876288
Igneous,Plutonic,3.51073736,65.22451881,280.3092351,4.89593994,100.2472624,Basalt,276.9695511,2.342809565
Igneous,Plutonic,6.186407539,20.88266248,682.4295734,38.4180572,64.15211238,Limestone,167.7628204,3.508131128
Metamorphic,Sediment,6.819531315,16.03531454,964.1009398,22.56259807,195.9328781,Limestone,56.87215975,0.920989293
Igneous,Sediment,4.837735463,16.58536537,10.18082238,11.89375863,80.63746741,Limestone,129.3392213,3.221396998
Igneous,Sediment,8.865051551,63.56772639,434.4416552,49.39988498,122.8448663,Granite,96.7988895,1.90742541
Igneous,Volcanic,6.913108812,49.56999227,881.1676941,44.8255631,73.47008002,Granite,168.7017153,3.034898477
Igneous,Sediment,2.65773444,62.66367517,992.3469623,41.62942589,73.28198006,Limestone,28.6141056,2.907723647
Igneous,Sediment,9.666819874,38.95847787,293.3808933,15.81676965,97.98467333,Basalt,287.0254196,2.650721755
Igneous,Sediment,9.866223213,29.61267274,351.4687077,25.590328,1.637457726,Basalt,52.45096897,4.671124118
Metamorphic,Plutonic,9.360590205,2.943523706,100.9762797,21.03235085,146.2900498,Granite,80.66346912,2.044763766
Igneous,Plutonic,3.059655906,30.54729801,872.6019268,11.30488031,112.4803652,Granite,299.9793441,2.444919716
Metamorphic,Volcanic,7.284654949,33.63506553,765.4589703,47.69578537,74.70756143,Basalt,212.403372,3.169498116
Sedimentary,Plutonic,0.758042631,89.52968368,96.25672462,18.64625481,108.5011686,Granite,79.07329274,1.934679792
Sedimentary,Volcanic,6.49269326,55.44287274,717.1852403,17.70696826,109.2027779,Granite,243.6556201,2.261515714
Sedimentary,Plutonic,8.10696346,71.42399749,541.9358896,33.66305504,17.37605802,Limestone,141.3951602,3.938238865
Igneous,Volcanic,8.601435003,60.73648217,941.6831058,13.10892606,19.26036042,Basalt,187.9840307,4.00742797
Sedimentary,Volcanic,0.909259298,78.21353634,256.7424081,26.93759292,162.2754081,Limestone,236.4106106,0.972356475
Sedimentary,Plutonic,4.959750271,97.58464133,497.6331571,13.93957083,60.48624891,Granite,223.0928172,2.814428608
Sedimentary,Plutonic,4.371070389,41.87884848,20.48659527,15.26390802,172.076616,Granite,241.0513495,1.139679196
Igneous,Sediment,7.4651086,2.312838668,26.99029143,15.57324797,94.89065444,Granite,272.9223804,3.079058524
Sedimentary,Sediment,3.84629816,28.85250029,571.1529683,45.73471498,147.7277423,Granite,256.9998846,1.756920151
Metamorphic,Volcanic,1.821976449,12.56644453,544.0711337,34.86854129,190.9976096,Basalt,111.4603225,1.054383362
Igneous,Volcanic,3.465568522,51.58542979,684.9379367,28.30118886,144.6061387,Basalt,114.0944811,1.592022929
Sedimentary,Volcanic,8.621976302,18.29755936,315.9046428,38.68388319,67.1344508,Basalt,200.4463807,3.47433539
Metamorphic,Plutonic,2.877976093,18.71043424,300.732564,44.34966485,92.17662574,Basalt,67.62454612,2.969363143
Igneous,Plutonic,3.214385892,0.277095663,755.8082878,11.28387262,119.5842081,Limestone,7.532861453,2.605544882
Metamorphic,Sediment,8.34498432,18.74447536,4.768377764,15.05939042,184.0974238,Limestone,78.78426541,1.130606771
Igneous,Plutonic,5.034788381,40.72298444,294.2492583,46.36767893,157.7989816,Limestone,228.5739946,1.436790523
Sedimentary,Volcanic,5.261071245,82.48616737,458.4286582,23.25947752,98.75481268,Granite,71.07306757,2.200042073
Metamorphic,Sediment,9.236518594,25.87506749,198.1594999,12.18758967,163.4704233,Basalt,230.5636913,1.471840859
Metamorphic,Plutonic,4.271068085,1.378190462,975.7350333,6.626548875,170.2845353,Basalt,234.516926,1.580527389
Sedimentary,Volcanic,9.380757817,77.33985391,331.3715908,11.59570217,75.53816408,Basalt,60.92615116,2.715838179
Igneous,Plutonic,7.195747477,82.65186325,646.4388924,9.304636565,7.476942206,Limestone,174.1203801,4.023942523
Sedimentary,Plutonic,4.626731051,19.97039282,368.0839022,27.07331278,126.5834225,Granite,142.9931333,2.268627623
Sedimentary,Plutonic,9.713928217,4.622640047,658.207913,45.47789509,47.31284222,Granite,64.11215642,4.007516755
Igneous,Volcanic,7.622328075,48.63737941,992.1775067,29.45618102,184.6883867,Granite,3.663155899,0.819858472
Metamorphic,Volcanic,1.545396205,68.44190448,416.4663699,41.79822847,85.77961851,Limestone,213.8990089,2.599988585
Metamorphic,Plutonic,5.66160017,11.99035673,717.9512067,35.31859007,23.14363024,Basalt,168.5734373,4.417223828
Metamorphic,Volcanic,3.356500175,45.8849782,422.758693,5.238720212,31.60459726,Limestone,26.04258484,3.909058273
Metamorphic,Plutonic,1.924470136,85.24443865,24.52264926,21.58086251,160.1872777,Basalt,30.07746136,0.943810059
Sedimentary,Sediment,2.277135902,72.74397076,647.5524326,28.15119184,34.32816333,Granite,238.3593036,3.585997026
Metamorphic,Volcanic,1.414141119,13.47978947,795.0350443,18.46116639,62.52342318,Basalt,83.60161539,3.614733642
Metamorphic,Plutonic,3.249721064,34.05875997,696.3676936,12.01311006,65.06529069,Granite,232.8634525,3.358106586
Metamorphic,Plutonic,9.131505733,61.28359702,105.1182295,27.07923304,125.5557748,Granite,94.2158091,1.876048533
Metamorphic,Plutonic,8.280003729,78.20788108,575.3067067,7.250779471,139.4762931,Granite,268.6045992,1.428395327
Metamorphic,Sediment,2.501011098,95.86858957,771.302397,15.01607874,123.3642248,Basalt,92.35437962,1.574029608
Igneous,Volcanic,0.994678761,82.41486696,665.8070345,30.70003256,28.43457614,Limestone,113.213134,3.607159808
Sedimentary,Plutonic,8.7663608,16.33044608,47.902887,9.557573845,50.03600143,Granite,235.0927571,3.835975511
Metamorphic,Plutonic,6.481414712,1.734274681,17.28965274,28.34482144,126.6584885,Basalt,37.62656427,2.449487484
Metamorphic,Plutonic,6.104621521,24.03519104,336.7213425,20.44157902,23.23895925,Granite,288.9280816,4.294868905
Sedimentary,Volcanic,9.737644536,44.50016891,257.4664781,47.92972233,163.6114793,Basalt,217.2685817,1.282768725
Metamorphic,Sediment,4.618117873,41.05787014,779.3492723,25.98068389,132.1164278,Limestone,169.8578945,1.947092743
Sedimentary,Sediment,7.121854072,9.410500408,377.6210926,8.354459425,48.40878,Granite,60.24728296,3.937719396
Igneous,Plutonic,5.033222993,1.899298851,963.967602,25.94819132,10.51430284,Granite,204.6161521,4.770720955
Metamorphic,Plutonic,2.688880501,10.67675926,830.303686,9.895380146,20.95085377,Granite,17.07193578,4.474215332
Metamorphic,Volcanic,7.285577435,65.52712473,8.199140586,11.07402702,140.9364062,Limestone,45.64225641,1.526000628
Igneous,Plutonic,5.767507831,21.31564668,449.2342848,43.37115309,60.51928546,Basalt,205.791717,3.576457824
Metamorphic,Sediment,4.382812328,9.61552543,360.6349937,42.06400332,194.6092485,Granite,253.5245012,1.011659777
Igneous,Volcanic,1.622283908,34.55092984,831.1881586,27.69479672,155.2371594,Granite,233.33498,1.549747513
Igneous,Volcanic,0.710879006,34.24065656,479.0215055,47.26123608,179.6457602,Limestone,126.9095949,1.06467823
Metamorphic,Plutonic,0.956659275,40.45422869,535.9033326,45.21985957,58.97585343,Basalt,92.6592437,3.415940645
Igneous,Sediment,6.271832345,50.51915551,195.8689591,7.236362442,97.89944196,Limestone,233.8172869,2.536819606
Metamorphic,Volcanic,7.788312516,97.58036873,382.7181982,19.59946634,0.363898956,Limestone,248.9752096,4.016918334
Metamorphic,Volcanic,6.466284441,76.99221187,470.6231999,46.00967443,5.822759567,Granite,34.58435482,4.11362269
Metamorphic,Plutonic,3.76017335,8.510590811,87.88788197,28.34363397,43.22440391,Basalt,187.9605632,4.050406014
Igneous,Sediment,9.293998221,82.38822097,248.4303876,4.483146306,190.0384936,Granite,298.3487794,0.375347917
Igneous,Sediment,3.744948995,46.06772611,145.3336613,35.50903964,84.36672137,Granite,240.9045436,2.851988311
Igneous,Volcanic,5.772967114,4.278380917,334.9545405,40.42980853,137.6227763,Limestone,189.7595842,2.204760665
Sedimentary,Sediment,6.725046423,60.50368756,641.1243266,31.02105523,106.6855879,Limestone,227.3241376,2.261251366
Metamorphic,Plutonic,3.694925635,47.52383386,401.4495569,10.46052456,64.3777925,Granite,16.50452328,3.237205811
Igneous,Plutonic,3.255276339,39.05830929,93.38409765,11.02275649,49.90834949,Limestone,68.24106246,3.611249917
Sedimentary,Volcanic,3.502217015,14.48761051,731.5013568,17.13274277,24.4730468,Limestone,178.0799344,4.365662959
Metamorphic,Volcanic,1.796481751,5.805632068,163.292142,20.9997406,138.7017944,Basalt,192.4502654,2.167907792
Metamorphic,Sediment,0.052059794,79.32906525,335.6877785,33.98578455,6.534634341,Granite,118.136473,4.076016661
Metamorphic,Plutonic,0.196105013,81.63455351,186.9671805,33.72739538,55.41323255,Granite,40.6053343,3.075389814
Sedimentary,Sediment,9.30295339,59.50246158,890.6310473,15.32997008,165.9670667,Basalt,282.5047,1.085634049
Igneous,Sediment,3.951838268,90.41310512,335.0857427,16.22999996,199.1465344,Limestone,285.7231345,0.11293826
Igneous,Volcanic,2.28618346,83.7202027,342.4578776,48.9621687,169.9635258,Basalt,271.4757904,0.763527458
Igneous,Plutonic,5.736735115,29.41513523,197.5250064,26.39359603,134.303145,Basalt,222.5365905,2.019785747
Igneous,Plutonic,1.703832126,53.58879926,436.1098201,10.41121055,110.5924635,Basalt,82.77411654,2.252262738
Metamorphic,Sediment,5.350545571,20.01093449,899.9425369,16.90514125,122.0669205,Limestone,36.57989623,2.358552244
Metamorphic,Plutonic,6.300171925,27.20403393,956.5315904,19.7077133,121.4813113,Basalt,64.7440097,2.298333434
Igneous,Plutonic,8.614762029,80.43329181,245.6353123,45.5524254,8.031004407,Granite,225.7719362,4.035046994
Igneous,Sediment,4.578687853,83.54593945,465.4859674,3.279104784,45.30910646,Limestone,298.3124504,3.258358476
Igneous,Volcanic,3.341776028,16.0305217,805.8308258,2.25349137,13.28175029,Basalt,89.25563384,4.574059777
Sedimentary,Volcanic,0.474009746,99.57126839,691.1288861,25.97932204,161.033278,Basalt,198.7460402,0.783621756
Metamorphic,Volcanic,1.732649537,21.96337996,867.6942857,16.84806634,89.52806852,Basalt,117.3407136,2.98980483
Igneous,Sediment,0.52029812,70.45737173,540.0740808,33.80700409,55.64627793,Basalt,122.0741725,3.182500724
Igneous,Plutonic,1.926497623,41.96826314,653.4914118,47.23445216,132.69144,Basalt,157.547919,1.926488569
Sedimentary,Sediment,4.163672225,10.55496843,477.0742969,7.755404658,116.4374366,Basalt,219.0741233,2.565701583
Igneous,Sediment,9.464956117,29.68528677,396.9055388,9.147596976,175.588102,Granite,247.2231673,1.191385093
Metamorphic,Volcanic,7.749598947,5.729003855,556.719442,11.7506781,23.93703934,Limestone,234.4839301,4.463969175
Sedimentary,Plutonic,2.115813751,50.08116982,526.0963484,10.6641002,98.45223326,Granite,15.84596928,2.530143636
Sedimentary,Volcanic,0.000724496,88.03219317,415.5887021,45.37098995,99.26147195,Basalt,129.3324884,2.134448629
Sedimentary,Plutonic,2.959121407,8.168893759,309.6946493,30.42351326,152.5572694,Basalt,162.2476553,1.867165674
Igneous,Plutonic,7.582558437,15.77515917,583.2399317,44.13016135,43.59204153,Basalt,68.30068152,3.970407578
Igneous,Volcanic,7.484325131,81.20567848,248.0463297,16.57849021,126.3538801,Granite,119.529514,1.660865613
Igneous,Volcanic,6.240109701,49.64300321,773.6513091,42.29443235,172.7654419,Basalt,183.4575233,1.048261131
Sedimentary,Sediment,6.125841045,44.96468988,27.61404496,14.95901097,12.7395437,Granite,131.3355747,4.295562227
Sedimentary,Plutonic,8.49485249,59.68020177,675.5325983,9.400398589,52.39062994,Limestone,48.93964589,3.355385383
Metamorphic,Plutonic,8.426887623,28.0313013,562.3263097,7.056430651,24.79778167,Granite,104.275009,4.223731354
Sedimentary,Plutonic,3.303531581,32.88532338,600.932787,15.7995078,153.7471738,Granite,27.20123047,1.59620329
Igneous,Plutonic,3.247858577,66.91931285,602.9321105,5.975780918,87.89469863,Limestone,92.76643886,2.572912899
Igneous,Plutonic,6.318704323,12.98702796,670.565923,23.19162656,54.97799758,Basalt,224.2331981,3.770569769
Sedimentary,Sediment,1.879098553,15.22379386,15.35593656,43.06501782,98.47310814,Granite,155.0146828,2.878299899
Metamorphic,Plutonic,1.147626167,10.7776136,333.7834049,25.8115322,140.1744438,Limestone,149.781107,2.088734988
Sedimentary,Sediment,8.31558431,37.73923317,28.08799195,21.30761375,17.00052586,Granite,96.61632821,4.282597151
Sedimentary,Volcanic,9.851546831,85.73542571,236.4557132,18.79812157,86.23302619,Granite,229.1605133,2.417985219
Sedimentary,Sediment,0.334571278,3.862277003,117.1178675,31.41624913,82.90932345,Limestone,254.6776886,3.303190761
Igneous,Sediment,2.840578902,48.92520298,706.7857215,27.26005986,63.35999555,Granite,45.76283058,3.243548059
Igneous,Sediment,5.406034186,14.21565023,939.3044597,26.99453053,34.98306097,Limestone,216.1927641,4.158182278
Igneous,Volcanic,1.035471943,77.164479,457.2891111,6.633097776,7.442207262,Granite,298.0133981,4.079511065
Sedimentary,Plutonic,2.743682901,95.22486221,501.8363367,25.1507692,18.21394367,Basalt,285.2117457,3.683472504
Metamorphic,Sediment,7.328958646,51.87278382,120.2571391,8.783828474,86.43332103,Limestone,108.6776462,2.752605741
Sedimentary,Volcanic,5.581380069,7.634397476,40.34601932,25.55515433,5.700276186,Basalt,17.8655862,4.809650502
Sedimentary,Sediment,3.763414582,6.177906973,385.4696266,12.0875258,37.55405942,Granite,121.4039494,4.187139742
Igneous,Sediment,1.199039056,34.96393671,434.8736294,41.50014735,186.5612365,Basalt,92.50153034,0.919135903
Igneous,Volcanic,2.926420497,56.65182743,137.4144264,17.48560924,10.64327583,Limestone,113.7204431,4.220616209
Sedimentary,Sediment,1.141513457,56.18129118,641.5937344,49.35457683,39.02773245,Granite,62.16064464,3.657632439
Metamorphic,Sediment,9.474195186,86.46408385,616.0540494,42.07036184,41.93842894,Limestone,262.2086469,3.296590583
Igneous,Plutonic,8.673075097,24.81122485,508.3733143,46.48871319,135.8299992,Granite,198.1557316,2.035287767
Metamorphic,Volcanic,5.597646006,26.88315647,978.4153715,22.37548228,62.29001931,Basalt,218.5742129,3.485368049
Metamorphic,Sediment,6.077048133,34.22413082,303.7915909,10.72533426,15.69728735,Basalt,187.713272,4.343812945
Sedimentary,Volcanic,5.056936381,23.48484108,55.12452558,0.945053413,147.6991859,Limestone,56.47595675,1.811167871
Sedimentary,Volcanic,2.666436194,1.411219378,150.6390548,43.72228588,48.41216695,Limestone,286.1874595,4.017644467
Sedimentary,Plutonic,1.643468384,25.32614587,867.7099685,21.33041693,53.56578784,Granite,207.8441288,3.675422785
Metamorphic,Plutonic,0.51228404,89.06051766,841.5615454,4.289851757,159.7237493,Limestone,288.3511326,0.914919837
Igneous,Plutonic,4.920696192,56.81533501,679.7967402,13.33634716,129.9322518,Limestone,142.46025,1.833201614
Igneous,Sediment,4.055418046,90.28015596,797.9031099,46.73038141,167.330365,Basalt,12.54318035,0.750591141
Sedimentary,Sediment,6.065293911,69.76368815,664.8574757,13.59782174,85.12607029,Limestone,11.70874143,2.599841713
Igneous,Sediment,0.940941277,56.05119006,582.4117645,10.06146453,89.64054475,Limestone,141.6231779,2.646677204
Metamorphic,Sediment,0.113367775,14.25207833,624.3000573,49.64100539,130.0783496,Granite,36.06500016,2.255912225
Metamorphic,Sediment,8.214402971,43.15377212,83.70020921,29.99122917,45.60921963,Basalt,125.0345242,3.656277886
Igneous,Sediment,3.182942499,64.28539475,431.0346728,5.199104661,43.13511323,Basalt,150.1335821,3.494443788
Metamorphic,Volcanic,7.891842271,0.974326524,612.427284,5.794087934,120.8098848,Granite,251.0422906,2.57405904
Metamorphic,Volcanic,2.284829665,49.55147525,774.0529258,8.778873963,30.51222854,Basalt,271.5137606,3.894240677
Metamorphic,Plutonic,6.946466514,73.6573363,843.9686276,26.97128904,97.68109984,Granite,166.8772055,2.30980464
Sedimentary,Sediment,7.170179689,39.09373052,95.16824672,6.779844229,194.7805916,Granite,15.5152987,0.713450863
Sedimentary,Volcanic,7.116193374,94.36815284,129.2595472,36.11321889,60.4913196,Limestone,71.08950549,2.84649208
Igneous,Plutonic,8.526226082,90.93536916,347.0505094,31.63237684,35.18752687,Limestone,236.9278309,3.386895771
Igneous,Plutonic,8.812398879,31.86723522,652.9669842,43.82088489,3.07498125,Granite,256.7205786,4.619828023
Igneous,Plutonic,5.721143442,41.40153848,522.6158468,41.2031004,144.4259099,Limestone,150.3794552,1.697466417
Metamorphic,Plutonic,4.876523259,89.92577127,232.3422036,4.78508479,135.7276237,Limestone,210.6635137,1.386189813
Metamorphic,Volcanic,5.683860268,26.25365451,295.9530604,30.85216144,54.59166847,Basalt,149.8863637,3.645630086
Sedimentary,Volcanic,3.320743499,51.04381761,229.3638997,9.903023916,146.799668,Basalt,115.7182612,1.553568465
Sedimentary,Volcanic,2.325661912,85.84204015,401.7004765,5.793508263,141.6095928,Limestone,83.99159677,1.309387743
Igneous,Plutonic,5.652422454,62.36930403,962.5743711,9.555060031,56.83441145,Granite,279.6659496,3.239618731
Igneous,Plutonic,7.182929063,44.9330997,734.7733972,20.66925616,82.01030428,Granite,46.92502627,2.910462918
Metamorphic,Sediment,5.220482466,26.26644142,633.593436,19.93030914,170.7442065,Limestone,231.4087773,1.322451455
Sedimentary,Sediment,1.479332332,59.10919632,713.7406205,25.72204558,22.7894564,Limestone,150.9742182,3.953118909
Sedimentary,Plutonic,4.328989897,32.5754436,582.5355715,16.24361665,47.1113374,Granite,220.7703826,3.732018816
Metamorphic,Volcanic,2.133710214,80.52882554,979.1610062,22.06193582,162.4784772,Basalt,50.51031852,0.945142201
Igneous,Plutonic,7.973035022,96.24671585,517.0233942,12.78599021,32.16525366,Basalt,274.9880488,3.394227768
Sedimentary,Sediment,3.245725387,49.70037309,433.4315512,21.76077602,153.0516521,Granite,280.5474958,1.441963227
Sedimentary,Sediment,6.367746772,95.71382224,190.4446686,28.19686383,137.1013971,Limestone,214.4928989,1.300833836
Sedimentary,Volcanic,7.558474511,33.31501016,882.1945795,6.585278123,55.70714287,Basalt,140.6142002,3.552707041
Sedimentary,Plutonic,5.919980926,29.52841816,907.825645,22.59234158,20.06746682,Granite,245.7155297,4.303366482
Sedimentary,Sediment,9.654538958,34.63276501,554.6435846,29.15353014,160.3241838,Limestone,45.55148216,1.447188675
Metamorphic,Volcanic,8.41254064,72.16095013,34.92009594,28.34575856,5.606753422,Limestone,148.9319842,4.16625543
Metamorphic,Sediment,5.994131178,63.48797056,926.8786687,14.85285094,168.9131719,Basalt,135.666364,0.986856855
Metamorphic,Volcanic,6.669398596,80.79434229,724.0411659,39.77502944,127.2139014,Limestone,240.2341827,1.647778548
Igneous,Sediment,9.090134768,90.44188416,327.8882195,48.59864137,11.53339926,Granite,184.920808,3.864913173
Sedimentary,Sediment,4.952245577,23.04760702,535.1480486,3.297732985,110.7428315,Granite,256.3396326,2.554667299
Metamorphic,Plutonic,1.409724126,32.53521867,631.1232711,17.96506393,83.00060543,Granite,101.5352694,3.014635705
Sedimentary,Volcanic,4.826698956,37.31959537,144.2483232,9.94063981,15.849318,Granite,140.2971203,4.309817686
Sedimentary,Volcanic,8.454039345,9.055108339,658.7254975,21.01115802,174.2762043,Limestone,108.9940637,1.42392483
Sedimentary,Sediment,6.944433887,39.91122265,541.948441,38.74728207,193.5714167,Granite,40.46623427,0.72945944
